clusters	cells
1	c1
2	c2
1	c3
1	c4
1	c5
1	c6
1	c7
3	c8
3	c9
4	c10
1	c12
1	c13
1	c14
4	c15
1	c17
1	c18
1	c19
4	c20
4	c22
1	c23
5	c24
3	c25
1	c26
1	c27
2	c28
1	c29
3	c30
1	c31
1	c32
2	c33
3	c34
3	c35
6	c36
4	c37
4	c38
3	c39
1	c40
1	c41
1	c42
1	c43
1	c44
6	c45
1	c46
4	c47
3	c48
1	c49
5	c50
3	c51
1	c52
1	c53
3	c54
1	c55
1	c56
3	c57
3	c58
1	c59
1	c60
2	c61
3	c62
1	c63
1	c64
2	c65
1	c66
6	c67
3	c68
1	c70
6	c71
4	c72
1	c74
3	c76
1	c77
2	c78
1	c79
1	c81
1	c82
1	c83
4	c84
5	c85
4	c86
1	c87
1	c88
1	c89
1	c90
3	c91
5	c92
1	c93
1	c94
1	c95
4	c96
1	c97
3	c98
1	c99
1	c101
1	c102
1	c103
1	c104
1	c105
1	c106
3	c107
1	c108
1	c109
1	c110
3	c111
2	c112
7	c113
4	c114
4	c115
1	c116
1	c117
1	c118
1	c119
1	c120
1	c121
1	c122
3	c123
1	c124
7	c125
2	c126
6	c127
3	c128
1	c129
1	c130
4	c131
4	c132
4	c133
1	c134
1	c135
1	c136
3	c137
2	c138
4	c139
2	c140
3	c141
1	c142
3	c143
3	c144
1	c145
1	c146
3	c147
3	c148
1	c150
1	c151
4	c152
3	c153
1	c154
1	c155
1	c156
3	c157
1	c158
4	c161
1	c162
1	c163
4	c164
1	c165
4	c166
4	c167
8	c168
4	c169
4	c170
3	c171
1	c172
8	c173
4	c174
1	c175
1	c178
1	c179
1	c180
1	c181
4	c182
3	c183
4	c184
1	c185
1	c186
1	c188
1	c189
4	c191
1	c192
4	c193
4	c194
6	c195
4	c197
3	c199
4	c200
1	c202
1	c203
4	c204
1	c205
1	c206
4	c208
1	c209
1	c210
1	c211
5	c216
1	c217
4	c219
2	c221
1	c222
4	c225
1	c226
4	c228
2	c230
1	c231
1	c232
1	c233
1	c234
1	c235
3	c236
1	c238
1	c239
3	c240
4	c241
1	c242
1	c243
3	c244
2	c245
4	c246
1	c247
1	c249
3	c250
1	c251
1	c252
3	c253
3	c254
4	c255
1	c256
1	c257
7	c258
1	c259
3	c260
1	c261
1	c262
3	c263
3	c265
1	c266
4	c267
1	c268
1	c269
1	c270
4	c271
1	c272
1	c273
4	c274
4	c275
3	c276
1	c277
3	c278
5	c279
3	c281
1	c282
4	c283
1	c284
1	c285
1	c286
4	c287
1	c288
1	c289
8	c290
1	c291
1	c292
1	c296
1	c297
1	c298
1	c299
1	c302
1	c305
4	c309
1	c321
1	c323
2	c328
4	c329
4	c331
1	c333
7	c334
1	c342
4	c343
1	c345
5	c348
4	c350
1	c354
4	c356
4	c357
1	c358
1	c359
1	c362
3	c369
4	c379
2	c384
4	c389
1	c390
7	c393
1	c396
1	c398
1	c399
1	c403
1	c405
4	c408
4	c411
1	c413
1	c415
2	c416
1	c422
1	c423
1	c428
1	c430
1	c431
4	c432
1	c440
1	c445
4	c446
1	c447
1	c449
9	c452
9	c453
9	c454
8	c455
9	c456
9	c457
8	c458
9	c459
9	c460
8	c461
8	c462
8	c464
3	c465
8	c466
8	c467
8	c468
8	c469
9	c470
8	c471
8	c472
9	c473
9	c474
9	c475
8	c476
9	c477
9	c478
8	c479
8	c480
8	c481
9	c483
8	c484
8	c487
8	c488
9	c490
8	c491
8	c492
9	c493
8	c494
8	c495
8	c496
8	c497
8	c498
9	c500
9	c501
8	c502
4	c503
8	c504
8	c505
8	c506
9	c507
8	c508
8	c509
8	c510
8	c511
9	c512
7	c513
8	c514
9	c515
8	c516
9	c517
8	c518
8	c519
10	c520
8	c521
8	c522
8	c523
8	c524
8	c525
8	c526
8	c527
8	c528
9	c529
8	c530
8	c531
8	c532
8	c533
8	c534
8	c535
9	c536
9	c537
8	c538
9	c539
9	c541
8	c542
8	c543
9	c544
8	c545
8	c546
8	c547
7	c548
8	c549
9	c550
8	c551
8	c552
8	c553
8	c556
9	c557
9	c558
9	c559
8	c560
9	c561
8	c562
8	c564
1	c565
10	c567
8	c569
8	c572
8	c573
8	c575
7	c576
10	c577
2	c578
8	c579
9	c580
8	c581
8	c582
8	c583
8	c585
7	c586
3	c588
8	c589
10	c590
8	c591
8	c592
8	c594
9	c595
8	c596
8	c597
8	c598
8	c599
8	c600
8	c601
8	c602
9	c603
8	c604
9	c605
8	c606
9	c607
8	c608
9	c609
9	c610
7	c611
8	c612
8	c613
9	c614
8	c615
8	c616
9	c617
9	c618
8	c619
8	c620
9	c621
8	c622
8	c623
10	c624
8	c625
10	c626
8	c628
8	c629
8	c630
8	c631
9	c632
8	c633
8	c634
9	c635
8	c636
8	c637
8	c638
8	c639
10	c640
8	c641
8	c642
3	c644
8	c645
8	c646
8	c647
9	c649
8	c650
